Topic,Subtopic,Detail,Date,Source
Company,Legal name,"Agnikul Cosmos Private Limited",2017,"Agnikul official site"
Founders,Co-founders,"Srinath Ravichandran; Moin S.P.M.; Satyanarayanan Chakravarthy; Janardhana Raju",2017,"Wikipedia / Founder profiles"
Origin,Incubation,"IIT Madras incubation and research roots; started by a team from IIT Madras",2017,"IIT Madras / company bios"
Founding year,Established,"Company founded and incorporated",2017,"Wikipedia / company sources"
Headquarters,Location,"Based in Chennai, Tamil Nadu, India",,"Company website"
Core product,Launch vehicle,"Agnibaan — small-lift, customizable multi-stage orbital launch vehicle (designed to carry ~100–300 kg to LEO depending on variant)",Ongoing development,"Agnibaan pages / Wikipedia"
Core tech,Engine,"Agnilet — single-piece 3D-printed liquid rocket engine (patented / notable for single-piece 3D printing)",2021,"News coverage / PIB"
Milestone,3D-printed engine,"Declared world's first single-piece 3D-printed rocket engine used in their vehicle; successful demonstrations & test-firings",2021–2024,"The Hindu / PIB"
Launches,Test flights,"First successful Agnibaan test launch (short flight; sub-orbital / test profile) and earlier aborted attempts",May 2024,"Reuters / news reports"
Launchpad,Private launchpad,"India's first private space launchpad at SDSC in partnership with ISRO/IN-SPACe",2022,"ISRO / news reports"
Government ties,NDA & advisory,"NDA with Department of Space; ISRO advisory interactions for technology assistance",2019–2022,"Wikipedia / press coverage"
Regulatory engagement,IN-SPACe coordination,"Worked with IN-SPACe / ISRO for private launch approvals and SDSC access",2022,"Press releases / news"
Partnerships,Earlier launch attempts,"Explored cooperation with Alaska Aerospace Corporation for Kodiak launch complex",2020,"Wikipedia / press"
Investors,Notable backers,"Investment from Anand Mahindra and early-stage VCs",2019–2023,"Wikipedia / press"
Products & services,Other offerings,"SOrTeD / Dhanush (internal project names)",Ongoing,"Company website"
Engineering approach,Manufacturing,"Focus on in-house 3D printing of engines and aerospace parts",2021–2024,"Company announcements / industry press"
Technical milestone,Engine family,"Agnilet engine family designed for clustering across rocket stages",Ongoing,"Agnibaan documentation"
Payload capability,Capacity,"~100–300 kg to LEO depending on configuration",Planned specs,"Agnibaan specs / Wikipedia"
PR & recognition,National milestones,"Recognised as a leading Indian private space startup",2022–2024,"National press / PIB"
Recent tech update,Semi-cryogenic engine,"India's first electric motor-driven semi-cryogenic rocket engine",May 23 2025,"Economic Times"
Operational status,Flight testing status,"Series of test cancellations followed by successful short flight",2024–present,"Reuters / news"
Compliance,Data & approvals,"Works within Department of Space regulatory framework & IN-SPACe",2022–present,"Press / IN-SPACe notes"
Market positioning,Competitive edge,"Small-lift, configurable launch provider focused on express launches for small satellites",Present,"Company website / industry analysis"
Team & talent,Hiring & R&D,"Strong engineering team with rapid prototyping focus",2021–2025,"Company site / interviews"
Public outreach,Media coverage,"Frequent coverage in national press and tech events",2019–2025,"Press"
Risks & setbacks,Launch cancellations,"Multiple aborts/cancellations during maiden test attempts",May 2024,"Reuters"
Notable quotes,Leadership statements,"CEO's comments on 3D printing and production roadmap",2019–2025,"Interviews / podcasts"
Contact & corporate,Communications,"Email and contact channels listed for careers, payloads, vendors",Current,"Company website"
